time,open,high,low,close,New Moon,Full Moon,EMA,BUY,SELL,RSI,Plot,Lower RSI Level,Upper RSI Level,Plot,Plot,Plot,Plot,Plot,Plot,EMA Dot,ZeroLine,VAPI Histogram,DummyU,DummyL,VAPI Osc,ATR
2025-09-11T22:40:00-04:00,23999.75,24004.5,23999.25,24003.75,0,0,24005.876021004624,0,0,48.8913278539254,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-1.960328736393393,0,-1.960328736393393,-1.960328736393393,5.69822977284315
2025-09-11T22:45:00-04:00,24003.75,24004.5,24000.75,24003.25,0,0,24005.7259626615,0,0,48.18038411900168,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,0.6103693124153526,0.6103693124153526,0,0.6103693124153526,5.559070503354354
2025-09-11T22:50:00-04:00,24003,24007,24003,24006,0,0,24005.74162193799,1,0,52.28964243848801,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,0.16431621423506831,0.16431621423506831,0,0.16431621423506831,5.447708324543329
2025-09-11T22:55:00-04:00,24006,24007,24003,24003.75,0,0,24005.627814970103,0,1,48.874667086005516,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-6.396713768936507,0,-6.396713768936507,-6.396713768936507,5.344300587075948
2025-09-11T23:00:00-04:00,24004,24005.75,24002.25,24003.5,0,0,24005.50622554324,0,0,48.49568630612312,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-0.5786025897627781,0,-0.5786025897627781,-0.5786025897627781,5.212564830856238
2025-09-11T23:05:00-04:00,24003.25,24004.5,24001.25,24002.5,0,0,24005.33444122648,0,0,46.928171399548326,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,16.80237476288969,16.80237476288969,0,16.80237476288969,5.072381628652221
2025-09-11T23:10:00-04:00,24002.75,24005.75,24002.5,24003,0,0,24005.201044584966,0,0,47.836062221271725,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,21.478735174674252,21.478735174674252,0,21.478735174674252,4.94221151231992
2025-09-11T23:15:00-04:00,24003,24004.75,24002,24004.75,0,0,24005.17527060868,0,0,50.995831185534556,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,21.562188816690405,21.562188816690405,0,21.562188816690405,4.78562497572564
2025-09-11T23:20:00-04:00,24004.25,24007,24003.25,24006,0,0,24005.222398002472,1,0,53.17753543818249,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,21.872178963300467,21.872178963300467,0,21.872178963300467,4.711651763173809
2025-09-11T23:25:00-04:00,24005.75,24005.75,24000.25,24002.5,0,0,24005.06683240233,0,1,46.88354590331879,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,9.505099366002435,9.505099366002435,0,9.505099366002435,4.78581949437568
2025-09-11T23:30:00-04:00,24002.5,24003.25,24001,24003,0,0,24004.948727693627,0,0,47.83344314615462,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-1.4909155076201397,0,-1.4909155076201397,-1.4909155076201397,4.6046895304917035
2025-09-11T23:35:00-04:00,24003,24003.5,24000.5,24002.75,0,0,24004.823086111133,0,0,47.37722572441123,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-1.5946692636238573,0,-1.5946692636238573,-1.5946692636238573,4.490068849742296
2025-09-11T23:40:00-04:00,24002.75,24003.75,24000.75,24002.75,0,0,24004.70462404764,0,0,47.37722572441123,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,-6.674454741273703,0,-6.674454741273703,-6.674454741273703,4.383635360474989
2025-09-11T23:45:00-04:00,24003,24003,24000.25,24002,0,0,24004.550074102062,0,0,45.85554783487999,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,5.581198932447746,5.581198932447746,0,5.581198932447746,4.266947120441062
2025-09-11T23:50:00-04:00,24002,24004.25,24001.5,24003.5,0,0,24004.490069867657,0,0,49.35880280898568,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,15.47447369837036,15.47447369837036,0,15.47447369837036,4.158593754695271
2025-09-11T23:55:00-04:00,24003.75,24010,24003.25,24008.5,0,0,24004.719208732364,1,0,58.90392616022666,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,29.092632796220936,29.092632796220936,0,29.092632796220936,4.343694200788467
2025-09-12T00:00:00-04:00,24008.75,24011.5,24007.5,24010.5,0,0,24005.049539661944,0,0,61.99009077951689,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,43.47323704333049,43.47323704333049,0,43.47323704333049,4.319144615017862
2025-09-12T00:05:00-04:00,24010.5,24014.5,24010.25,24013.75,0,0,24005.54670882412,0,0,66.40508689517549,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,44.867145137752566,44.867145137752566,0,44.867145137752566,4.3142057139451575
2025-09-12T00:10:00-04:00,24013.5,24018.75,24013.5,24015.75,0,0,24006.12975403417,0,0,68.80630512199498,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,33.128356493804404,33.128356493804404,0,33.128356493804404,4.381048162949075
2025-09-12T00:15:00-04:00,24015.75,24016.5,24012.25,24013.25,0,0,24006.536625232216,0,0,62.767035451274474,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,28.7408593045208,28.7408593045208,0,28.7408593045208,4.371687579881284
2025-09-12T00:20:00-04:00,24013.25,24021.75,24012.5,24018,0,0,24007.191675218946,0,0,68.43580926622712,50,30,70,23998.75,23993,23998.75,23993,23995.875,23995.875,1,0,25.447008837647875,25.447008837647875,0,25.447008837647875,4.72013846703262
2025-09-12T00:25:00-04:00,24018,24018.75,24015.75,24018.25,0,0,24007.82357949215,0,0,68.70586632158997,50,30,70,NaN,NaN,23998.75,23993,NaN,23995.875,1,0,26.815094215523136,26.815094215523136,0,26.815094215523136,4.597271433673147
2025-09-12T00:30:00-04:00,24018.5,24021.5,24017.5,24020.5,0,0,24008.547946378312,0,0,71.1022282851811,50,30,70,NaN,NaN,NaN,NaN,NaN,NaN,1,0,28.03202760726251,28.03202760726251,0,28.03202760726251,4.5546091884107796
