time,open,high,low,close,New Moon,Full Moon,EMA,BUY,SELL,RSI,Plot,Lower RSI Level,Upper RSI Level,Plot,Plot,Plot,Plot,Plot,Plot,EMA Dot,ZeroLine,VAPI Histogram,DummyU,DummyL,VAPI Osc,ATR
2025-08-14T15:55:00-04:00,6472.55,6473.55,6468.38,6468.38,0,0,6464.863567683875,0,0,55.2675420307782,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-21.158781335610072,0,-21.158781335610072,-21.158781335610072,3.3705975783315743
2025-08-14T16:00:00-04:00,6467.74,6468.53,6467.74,6468.53,0,0,6465.073078101939,0,0,55.53027347902596,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,20.5567611351281,20.5567611351281,0,20.5567611351281,3.1862691798793166
2025-08-15T09:30:00-04:00,6481.34,6481.34,6468.96,6468.96,0,0,6465.295187924686,0,0,56.3222484393683,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-9.717439746587418,0,-9.717439746587418,-9.717439746587418,3.87367852417368
2025-08-15T09:35:00-04:00,6468.83,6472.8,6468.66,6469.72,0,0,6465.548034328989,0,0,57.75430213048551,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-9.68789774989679,0,-9.68789774989679,-9.68789774989679,3.8927014867327263
2025-08-15T09:40:00-04:00,6469.41,6471.35,6468.07,6469.23,0,0,6465.758432367333,0,0,56.46879433775843,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-9.358487575862425,0,-9.358487575862425,-9.358487575862425,3.8489370948232926
2025-08-15T09:45:00-04:00,6469.03,6469.19,6455.02,6455.26,0,0,6465.158521946342,0,1,33.54447712395621,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-10.976226993434567,0,-10.976226993434567,-10.976226993434567,4.589013016621566
2025-08-15T09:50:00-04:00,6455.03,6459.39,6453.53,6456.59,0,0,6464.668892120837,0,0,36.19999086622681,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-11.9579698186072,0,-11.9579698186072,-11.9579698186072,4.679797801148638
2025-08-15T09:55:00-04:00,6456.34,6459.69,6455.99,6457.79,0,0,6464.275812571075,0,0,38.584556891181535,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-14.415272874159674,0,-14.415272874159674,-14.415272874159674,4.609812243923722
2025-08-15T10:00:00-04:00,6457.55,6461.45,6451.38,6461.19,0,0,6464.099480424156,0,0,44.87159889805543,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-6.557394767501779,0,-6.557394767501779,-6.557394767501779,4.999825655072007
2025-08-15T10:05:00-04:00,6460.98,6461.84,6457.43,6460.89,0,0,6463.916081542776,0,0,44.43932082540876,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-13.012335894785195,0,-13.012335894785195,-13.012335894785195,4.957695251138282
2025-08-15T10:10:00-04:00,6460.88,6461.49,6458.6,6461.04,0,0,6463.751734026046,0,0,44.7260466936933,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,6.200399426727763,6.200399426727763,0,6.200399426727763,4.810002733199792
2025-08-15T10:15:00-04:00,6460.99,6463.43,6457.15,6457.15,0,0,6463.3744920817,0,0,39.09188882987584,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-44.75254553680868,0,-44.75254553680868,-44.75254553680868,4.915002537971282
2025-08-15T10:20:00-04:00,6457.2,6459.5,6455.12,6456.66,0,0,6462.990806819888,0,0,38.435097148327884,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-12.890485939693791,0,-12.890485939693791,-12.890485939693791,4.876788070973341
2025-08-15T10:25:00-04:00,6456.67,6460.62,6453.37,6458.49,0,0,6462.733617858752,0,0,42.331966316030304,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-4.326526492284592,0,-4.326526492284592,-4.326526492284592,5.0463032087609605
2025-08-15T10:30:00-04:00,6458.45,6459.53,6454.67,6455.24,0,0,6462.305411123966,0,0,37.76067094638439,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-6.2778373878521485,0,-6.2778373878521485,-6.2778373878521485,5.032995836706583
2025-08-15T10:35:00-04:00,6455.46,6458.16,6454.26,6457.74,0,0,6462.044530488311,0,0,42.871215262002856,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,13.206494561918825,13.206494561918825,0,13.206494561918825,4.9520675626560875
2025-08-15T10:40:00-04:00,6457.7,6458.73,6454.47,6454.83,0,0,6461.632271603265,0,0,38.870312869405936,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,6.8998342183079036,6.8998342183079036,0,6.8998342183079036,4.902634165323461
2025-08-15T10:45:00-04:00,6454.92,6455.21,6451.17,6453.33,0,0,6461.157856083078,0,0,36.95580237527891,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,8.084506288628958,8.084506288628958,0,8.084506288628958,4.841017439228925
2025-08-15T10:50:00-04:00,6453.26,6453.65,6451.25,6452.44,0,0,6460.65969287833,0,0,35.8282197503714,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-3.5118833971870558,0,-3.5118833971870558,-3.5118833971870558,4.666659050712547
2025-08-15T10:55:00-04:00,6452.51,6453.86,6449.78,6451.77,0,0,6460.15171042814,0,0,34.963354763651,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-10.24392047865898,0,-10.24392047865898,-10.24392047865898,4.624754832804503
2025-08-15T11:00:00-04:00,6451.88,6453.19,6450.42,6451.65,0,0,6459.665898403675,0,0,34.801319357611305,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,-19.828757454370663,0,-19.828757454370663,-19.828757454370663,4.492272344747005
2025-08-15T11:05:00-04:00,6451.61,6452.22,6448.97,6452.14,0,0,6459.235847066322,0,0,36.10350639721938,50,30,70,6472.21,6464.02,6472.21,6464.02,6468.115,6468.115,1,0,1.2628081557661053,1.2628081557661053,0,1.2628081557661053,4.403538605836505
