time,open,high,low,close,New Moon,Full Moon,EMA,BUY,SELL,RSI,Plot,Lower RSI Level,Upper RSI Level,Plot,Plot,Plot,Plot,Plot,Plot,EMA Dot,ZeroLine,VAPI Histogram,DummyU,DummyL,VAPI Osc,ATR
2025-08-15T15:25:00-04:00,477.43,477.55,477.3,477.36,0,0,477.35400727393704,0,0,50.58721759887428,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-10.812230591529932,0,-10.812230591529932,-10.812230591529932,0.36521623608373277
2025-08-15T15:30:00-04:00,477.32,477.32,476.9,477.04,0,0,477.33606400114064,0,1,44.7590138177468,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-17.780162098173875,0,-17.780162098173875,-17.780162098173875,0.37198650493489727
2025-08-15T15:35:00-04:00,477,477.06,476.9,476.9,0,0,477.3111460582183,0,0,42.45449451376439,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-26.700247096771005,0,-26.700247096771005,-26.700247096771005,0.35684461172526355
2025-08-15T15:40:00-04:00,476.88,477.09,476.87,476.92,0,0,477.28879485489153,0,0,42.90673698882652,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-20.389612784990465,0,-20.389612784990465,-20.389612784990465,0.3470699966020283
2025-08-15T15:45:00-04:00,477.01,477.67,477.01,477.67,0,0,477.3105780060406,1,0,56.66141957655742,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-14.282275722778225,0,-14.282275722778225,-14.282275722778225,0.3758507111304549
2025-08-15T15:50:00-04:00,477.53,477.59,476.99,477.16,0,0,477.30197354855255,0,1,48.16408666744834,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-14.628926689385272,0,-14.628926689385272,-14.628926689385272,0.3975756603354229
2025-08-15T15:55:00-04:00,477.12,477.76,476.98,477.5,0,0,477.3132893457781,1,0,53.20268294946708,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,5.079119126994318,5.079119126994318,0,5.079119126994318,0.42489168459717647
2025-08-18T09:30:00-04:00,478,479.07,477.18,477.29,0,0,477.3119585260194,0,1,49.97174663799726,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-4.169549751401435,0,-4.169549751401435,-4.169549751401435,0.52954227855452
2025-08-18T09:35:00-04:00,477.38,477.55,476.23,476.54,0,0,477.26784661024686,0,0,40.50978021797715,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-11.50423808620663,0,-11.50423808620663,-11.50423808620663,0.5860035443720538
2025-08-18T09:40:00-04:00,476.55,476.88,475.93,476.81,0,0,477.2416839468042,0,0,44.578190632393714,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-5.613134494739725,0,-5.613134494739725,-5.613134494739725,0.6120032912026205
2025-08-18T09:45:00-04:00,476.83,478.1,476.83,477.9,0,0,477.2793020069868,1,0,57.27982539049427,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-1.420120583726089,0,-1.420120583726089,-1.420120583726089,0.660431627545292
2025-08-18T09:50:00-04:00,477.98,478.42,477.8,477.89,0,0,477.314199035159,0,0,57.15041876199295,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-3.62731496289424,0,-3.62731496289424,-3.62731496289424,0.6575436541492001
2025-08-18T09:55:00-04:00,477.7,478.2,477.39,477.59,0,0,477.3299590902928,0,0,53.26279083073601,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-0.8441835875703163,0,-0.8441835875703163,-0.8441835875703163,0.6684333931385432
2025-08-18T10:00:00-04:00,477.52,477.65,476.58,476.71,0,0,477.2945328565618,0,1,43.84174334402642,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-2.364717595772275,0,-2.364717595772275,-2.364717595772275,0.6971167222000754
2025-08-18T10:05:00-04:00,476.77,476.84,476.21,476.48,0,0,477.2479881219011,0,0,41.7625625235313,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-7.556969067496082,0,-7.556969067496082,-7.556969067496082,0.6923226706143554
2025-08-18T10:10:00-04:00,476.445,476.71,475.9,476.3,0,0,477.1938173720782,0,0,40.15746975388535,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-2.4745061034159863,0,-2.4745061034159863,-2.4745061034159863,0.7007281941419016
2025-08-18T10:15:00-04:00,476.16,476.28,475.8,475.85,0,0,477.1170278079594,0,0,36.39180786876546,50,30,70,478.04,477.53,478.04,477.53,477.78499999999997,477.78499999999997,1,0,-35.94005635799504,0,-35.94005635799504,-35.94005635799504,0.6863904659889085
