time,open,high,low,close,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,ATR Trailing Stoploss,VWAP,Upper Band #1,Lower Band #1,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ATR,ADX,OnBalanceVolume,Histogram,MACD,Signal
2025-09-22T10:30:00-04:00,255.15,255.23,254.96,255.05,NaN,NaN,NaN,255.42917413698902,NaN,NaN,255.00870000000202,256.2623503643051,253.75504963569895,253.91694782797484,254.61279631901843,255.13661996151717,254.0889726765197,9407,30899.9,51.847701662791984,44.06869204769144,NaN,NaN,NaN,NaN,0.5661382323869671,23.794676619716864,9526018,0.02051229778395948,-0.09902351912532481,-0.11953581690928429
2025-09-22T10:35:00-04:00,255.04,255.4,254.96,255.13,NaN,NaN,NaN,255.42917413698902,NaN,NaN,255.02780000000203,256.25895906197053,253.79664093803356,254.1295582623799,254.63456385567645,255.15901798750528,254.11010972384761,13588,31012.8,52.88270937916524,44.62142642397246,NaN,NaN,NaN,NaN,0.5571283586450407,22.517654671025355,9539606,0.042339150597916944,-0.06661187866188811,-0.10895102925980506
2025-09-22T10:40:00-04:00,255.14,255.36,255.1,255.17,NaN,NaN,NaN,255.42917413698902,NaN,NaN,255.04680000000204,256.256644219664,253.8369557803401,254.21364660990392,254.64703174255237,255.17249501280912,254.12156847229562,7611,30795.766666666666,53.4218026746191,44.601398609767266,NaN,NaN,NaN,NaN,0.5359049044561106,21.33184857581181,9547217,0.057346303138369956,-0.03726815033684261,-0.09461445347521256
2025-09-22T10:45:00-04:00,255.18,255.29,255.05,255.08,NaN,NaN,NaN,255.42917413698902,NaN,NaN,255.065800000002,256.24695428116013,253.88464571884393,254.2529172879231,254.66119389359554,255.1855605099423,254.13682727724878,10390,30608.2,51.98070638558268,45.63938927940213,NaN,NaN,NaN,NaN,0.5147688398521013,20.094075163273146,9536827,0.05886529981151768,-0.021032828710815465,-0.07989812852233315
2025-09-22T10:50:00-04:00,255.13,255.49,255.11,255.46,253.83068435499789,253.83068435499789,253.83068435499789,NaN,NaN,NaN,255.09250000000205,256.2474445856174,253.93755541438668,254.4553338303385,254.6858847518818,255.21657439697813,254.15519510678544,13379,30570.8,57.22718669955004,47.384615346030486,NaN,NaN,NaN,NaN,0.5072853512912366,19.4397767095786,9550206,0.08171068944923468,0.02224023328921021,-0.05947045616002447
2025-09-22T10:55:00-04:00,255.48,255.5,255.27,255.34,253.95110779340706,NaN,NaN,NaN,NaN,NaN,255.11370000000204,256.2469198532827,253.98048014672136,254.5572670642708,254.707547126698,255.2433306611442,254.17176359225178,12264,30180.7,55.1770032517584,48.70326828258969,NaN,NaN,NaN,NaN,0.4874792547704333,18.85685067470415,9537942,0.0846303888627488,0.04631752991841154,-0.038312858944337266
2025-09-22T11:00:00-04:00,255.31,255.51,254.97,255.01,253.95110779340706,NaN,NaN,NaN,NaN,NaN,255.12070000000205,256.2469255705794,253.9944744294247,254.5572670642708,254.72210963783152,255.2553239819506,254.18889529371245,12783,29917.1,49.884365653604036,49.44819556740521,NaN,NaN,NaN,NaN,0.4912307365725446,17.588184698423756,9525159,0.0613133970237754,0.03832888733538198,-0.02298450968839342
2025-09-22T11:05:00-04:00,255,255,254.63,254.68,253.95110779340706,NaN,NaN,NaN,NaN,NaN,255.11510000000203,256.24723513147916,253.98296486852493,254.5572670642708,254.72429673262795,255.24528910957937,254.20330435567652,19146,30090.5,45.21379747489652,49.881239359717384,NaN,NaN,NaN,NaN,0.48328568396021965,17.254380871033156,9506013,0.022634325004373707,0.005308396567073714,-0.017325928437299992
2025-09-22T11:10:00-04:00,254.65,254.69,254.44,254.54,253.95110779340706,NaN,NaN,NaN,NaN,NaN,255.10830000000198,256.2500453464023,253.96655465360166,254.5572670642708,254.71752381617262,255.22894884662577,254.20609878571946,17652,29882.3,43.35905405039215,49.848589898183796,NaN,NaN,NaN,NaN,0.466622420820204,17.361763065970738,9488361,-0.01157201246957269,-0.031790944024265855,-0.020218931554693165
2025-09-22T11:15:00-04:00,254.55,254.585,254.34,254.36,253.95110779340706,NaN,NaN,NaN,NaN,NaN,255.094900000002,256.2555765078634,253.9342234921406,254.5572670642708,254.7074007184467,255.2125985504216,254.2022028864718,15848,29835.4,41.02866010928341,49.46006733656103,NaN,NaN,NaN,NaN,0.4507922479044755,17.674070176875613,9472513,-0.043708105443489534,-0.07485406335905509,-0.031145957915565552
