time,open,high,low,close,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,ATR Trailing Stoploss,VWAP,Upper Band #1,Lower Band #1,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ATR,ADX,OnBalanceVolume
2025-09-08T13:30:00-04:00,6503,6505,6502.5,6502.75,NaN,NaN,NaN,6510.946287426905,NaN,NaN,6505.75,6515.909232254868,6495.590767745132,6495.869310787721,6504.543264930673,6509.633390687457,6499.453139173889,5646,9704.533333333333,47.691108704344266,43.249700832253275,NaN,NaN,NaN,NaN,4.022053375149256,20.0843492549055,2277832
2025-09-08T13:35:00-04:00,6502.75,6503.5,6500.5,6500.75,NaN,NaN,NaN,6510.946287426905,NaN,NaN,6505.675,6515.924999998547,6495.425000001454,6495.869310787721,6504.5254694879795,6509.605426842863,6499.445512133096,4479,9613.066666666668,44.340760238318964,43.28434849955081,NaN,NaN,NaN,NaN,3.9490495626385953,19.42088586884554,2273353
2025-09-08T13:40:00-04:00,6500.75,6501,6498.75,6500,NaN,NaN,NaN,6510.946287426905,NaN,NaN,6505.575,6515.946234256346,6495.203765743654,6495.869310787721,6504.491523255752,6509.568056668691,6499.414989842814,5528,9451.9,43.11749116741643,43.62769274733052,NaN,NaN,NaN,NaN,3.8276888795929813,19.30068646748459,2267825
2025-09-08T13:45:00-04:00,6500.25,6500.75,6496,6496.5,NaN,NaN,NaN,6510.200908583432,NaN,NaN,6505.525,6516.0455750795645,6495.004424920435,6495.869310787721,6504.42949185076,6509.52344894746,6499.335534754061,6970,9270.433333333332,37.86730480052074,43.69190467924641,NaN,NaN,NaN,NaN,3.89356824533634,19.87287729968859,2260855
2025-09-08T13:50:00-04:00,6496.5,6497.5,6490.25,6495.25,NaN,NaN,NaN,6506.152003647821,NaN,NaN,6505.335,6516.240782869932,6494.429217130068,6495.869310787721,6504.21034434068,6509.4591236815595,6498.961564999801,16807,9461.333333333334,36.17322032559043,43.35622666730918,NaN,NaN,NaN,NaN,4.133313370669458,21.482259243104156,2244048
2025-09-08T13:55:00-04:00,6495,6495.25,6492,6493.75,NaN,NaN,NaN,6505.787139845647,NaN,NaN,6505.115,6516.4927018773005,6493.737298122699,6495.869310787721,6504.107073038689,6509.432299820075,6498.781846257303,7659,9322.233333333334,34.1961857526432,43.08613955877552,NaN,NaN,NaN,NaN,4.070219558478782,22.976685333418615,2236389
2025-09-08T14:00:00-04:00,6493.75,6494.25,6491.5,6492.25,NaN,NaN,NaN,6504.859315307209,NaN,NaN,6504.845,6516.776843946819,6492.913156053181,6495.869310787721,6503.992433612913,6509.412051300229,6498.572815925598,7915,9175.266666666666,32.29532033188376,41.97069892323753,NaN,NaN,NaN,NaN,3.975918161444583,24.448746616077926,2228474
2025-09-08T14:05:00-04:00,6492.5,6495.25,6491.25,6493.75,NaN,NaN,NaN,6504.859315307209,NaN,NaN,6504.685,6516.987361560969,6492.382638439032,6495.869310787721,6503.8999405780805,6509.384920362405,6498.414960793756,6969,9088.666666666666,36.11940366695883,41.24253047007054,NaN,NaN,NaN,NaN,3.9776382927699703,25.381750393927437,2235443
2025-09-08T14:10:00-04:00,6493.75,6497.75,6493.5,6497.25,NaN,NaN,NaN,6504.859315307209,NaN,NaN,6504.61,6517.046301700815,6492.173698299184,6495.869310787721,6503.828661422904,6509.3380937136035,6498.319229132204,7413,9084.133333333333,44.05903093036723,41.474114515245795,NaN,NaN,NaN,NaN,3.9970927004292585,25.243720429183185,2242856
2025-09-08T14:15:00-04:00,6497.5,6501,6497.25,6500.5,NaN,NaN,NaN,6504.859315307209,NaN,NaN,6504.575,6517.047469683266,6492.1025303167335,6495.845448630177,6503.774609157461,6509.269508758511,6498.279709556411,10372,8754.9,50.2432283740062,42.26656844479799,NaN,NaN,NaN,NaN,3.9794432218271685,24.011279000023286,2253228
