time,open,high,low,close,ATR Trailing Stoploss,VWAP,Upper Band #1,Lower Band #1,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ATR,ADX
2025-04-23T13:30:00-04:00,526.93,528,525.35,525.64,518.581550698211,528.2607746749281,529.7697142592705,526.7518350905858,42810,68930.83333333333,1.8036943431634078,2.4807275375363815,0.6770331943729737,57.83634940465889,53.13572403328976,NaN,NaN,NaN,NaN,4.660192644425452,23.2668807013624
2025-04-23T14:30:00-04:00,525.74,526.62,524.46,525.34,518.581550698211,527.9706527636333,529.633313896953,526.3079916303136,45786,68780.13333333333,1.5068136136614787,2.560550211449822,1.0537365977883435,57.397381391574086,55.24363758582564,NaN,NaN,NaN,NaN,4.481607455537917,23.17287561999139
2025-04-23T15:30:00-04:00,525.1,528.02,524.73,526.5,518.581550698211,527.7491333308644,529.3817816019342,526.1164850597946,73133,67441.9,1.3061666390326312,2.6864448965791325,1.3802782575465014,58.702579238568134,56.675207672242585,NaN,NaN,NaN,NaN,4.396492637285206,23.33241376035618
2025-04-24T09:30:00-04:00,527.04,529.9,523.32,529.67,518.8710804049855,527.63,527.63,527.63,82563,66979.53333333334,1.3016518498567895,3.0073430698674883,1.7056912200106988,62.11810602084043,57.44485029581995,NaN,NaN,NaN,NaN,4.5524574489076866,23.801175872208024
2025-04-24T10:30:00-04:00,529.63,531.3,529.13,529.31,521.3918643239883,528.7207949671689,529.861327670771,527.5802622635669,75519,66763.76666666666,1.1920625063808474,3.1957693529867583,2.003706846605911,61.496077775442956,58.11198859366004,NaN,NaN,NaN,NaN,4.382281916842849,24.46698291036227
2025-04-24T11:30:00-04:00,529.27,530.48,528.26,529.99,521.4434914591908,528.8909264815696,529.9674499858103,527.814402977329,39220,66007.56666666667,1.0860127411635725,3.3612227730603763,2.275210031896804,62.26473098669926,58.61879278682179,NaN,NaN,NaN,NaN,4.227833208496933,24.801032273234792
2025-04-24T12:30:00-04:00,530.29,531.12,529.41,529.85,523.0357931673526,529.0093761924182,530.0957283386485,527.923024046188,20917,64944.1,0.9329350919120665,3.441378896786887,2.5084438048748203,61.990350405267634,59.47768852961498,NaN,NaN,NaN,NaN,4.047987979318584,25.22828766710827
2025-04-24T13:30:00-04:00,529.99,531.42,528.5,530.52,523.492634533882,529.1954490250639,530.2743697087985,528.1165283413293,42687,64870.566666666666,0.8079718192564274,3.5184085789453547,2.7104367596889274,62.834430195240934,60.15072794517045,NaN,NaN,NaN,NaN,3.967417409367253,25.305477657443205
2025-04-24T14:30:00-04:00,530.62,532.42,530.38,531.9,525.0581076271056,529.5790712569969,530.8974904427974,528.2606520711964,50357,65089.86666666667,0.7506498845283351,3.6487491153493465,2.8980992308210114,64.57919552866645,60.790282199277335,NaN,NaN,NaN,NaN,3.8297447372695896,25.58194404114043
2025-04-24T15:30:00-04:00,531.76,533,531.33,531.98,526.2754861016846,529.9642135645671,531.4797604231101,528.4486667060241,56042,65489.7,0.6540552946305915,3.715668349109251,3.0616130544786593,64.68270479909253,61.354532635550626,NaN,NaN,NaN,NaN,3.6754772560360442,25.95868435369685
2025-04-25T09:30:00-04:00,532.17,533,526.79,528.53,526.2754861016846,529.4399999999999,529.4399999999999,529.4399999999999,75181,66545,0.3111419357329708,3.450540474144873,3.139398538411902,56.953183109745716,60.641397870307124,NaN,NaN,NaN,NaN,3.856514594890615,24.750733357687935
2025-04-25T10:30:00-04:00,528.43,530.5,527.6,528.92,526.2754861016846,529.3145826362831,529.5110972900115,529.1180679825547,30622,65570.3,0.0761675029754838,3.2346079171312567,3.158440414155773,57.5704361122254,60.47457231293447,NaN,NaN,NaN,NaN,3.7881921238269984,23.62906457567966
